asset_id,asset_name,asset_type,environment,owner_team,business_service,internet_exposed,criticality,edr_installed,vendor,product,version,ip_address,location,last_updated,stale_asset,assigned_owner
ASSET-042,DevMonitor-IND-01,Monitor Server,development,DevOps,Logging & SIEM,no,1,no,Grafana,Grafana,9.5.2,10.20.1.42,IND-DC1,2023-09-01,no,Ankit Patel
ASSET-043,DevSec-IND-01,Security Scanner,development,Security,DevOps CI/CD Pipeline,no,1,no,Nessus,Tenable Nessus,10.5.0,10.20.1.43,IND-DC1,2024-01-01,no,Priya Dev
ASSET-044,DockerHost-IND-01,Container Host,development,DevOps,DevOps CI/CD Pipeline,no,2,no,Docker,Docker Engine,23.0.3,10.20.1.44,IND-DC1,2024-03-01,no,Vikram Singh
ASSET-045,DevProxy-IND-01,Proxy Server,development,IT Ops,DevOps CI/CD Pipeline,no,1,no,Squid,Squid Proxy,5.7,10.20.1.45,IND-DC1,2023-05-01,yes,
ASSET-046,StagingApp-UAE-01,Application Server,staging,DevOps,DevOps CI/CD Pipeline,no,2,yes,Apache,HTTP Server,2.4.51,10.30.1.46,UAE-DC2,2024-02-01,no,Ravi Kumar
ASSET-047,StagingApp-UAE-02,Application Server,staging,DevOps,DevOps CI/CD Pipeline,no,2,yes,Nginx,Nginx,1.23.4,10.30.1.47,UAE-DC2,2024-02-01,no,Ravi Kumar
ASSET-048,StagingDB-UAE-01,Database Server,staging,Data,DevOps CI/CD Pipeline,no,2,yes,MySQL,MySQL,8.0.32,10.30.1.48,UAE-DC2,2024-02-01,no,Arun Nair
ASSET-049,StagingDB-UAE-02,Database Server,staging,Data,DevOps CI/CD Pipeline,no,2,yes,PostgreSQL,PostgreSQL,15.2,10.30.1.49,UAE-DC2,2024-02-01,no,Arun Nair
ASSET-050,StagingAPI-UAE-01,API Server,staging,Platform,DevOps CI/CD Pipeline,no,2,yes,Python,FastAPI,0.95.1,10.30.1.50,UAE-DC2,2024-03-01,no,Ravi Kumar
ASSET-051,StagingAPI-UAE-02,API Server,staging,Platform,DevOps CI/CD Pipeline,no,2,yes,Node.js,Express,18.12.0,10.30.1.51,UAE-DC2,2024-03-01,no,Ravi Kumar
ASSET-052,QATest-UAE-01,Test Server,staging,QA,DevOps CI/CD Pipeline,no,1,yes,Selenium,Selenium Grid,4.9.0,10.30.1.52,UAE-DC2,2023-12-01,no,Mona Al-Ali
ASSET-053,QATest-UAE-02,Test Server,staging,QA,DevOps CI/CD Pipeline,no,1,yes,Selenium,Selenium Grid,4.9.0,10.30.1.53,UAE-DC2,2023-12-01,no,Mona Al-Ali
ASSET-054,QATest-UAE-03,Test Server,staging,QA,DevOps CI/CD Pipeline,no,1,no,Apache,HTTP Server,2.4.38,10.30.1.54,UAE-DC2,2022-10-01,yes,
ASSET-055,SMSGateway-UAE-Prod-01,Application Server,production,Identity,SMS / OTP Notification Service,yes,4,yes,Openfire,Openfire XMPP,4.7.4,185.220.10.55,UAE-DC1,2023-08-01,no,Priya Sharma
ASSET-056,AnalyticsSrv-UAE-Prod-01,Application Server,production,Data,Analytics & BI Platform,no,2,yes,Apache,Spark,3.3.0,10.10.1.56,UAE-DC1,2024-01-01,no,Arun Nair
ASSET-057,BackupSrv-UAE-Prod-01,Backup Server,production,IT Ops,Internal IT Services,no,4,yes,Veeam,Veeam Backup,12.0,10.10.1.57,UAE-DC1,2024-04-01,no,Farid Al-Mansouri
ASSET-058,KYCServer-UAE-Prod-02,Application Server,production,Compliance,KYC / AML Processing,no,5,yes,JetBrains,TeamCity,2023.05.3,10.10.1.58,UAE-DC1,2023-10-01,no,Layla Al-Zaabi
ASSET-059,PrintSrv-UAE-Office-01,Print Server,production,IT Ops,Internal IT Services,no,2,no,Microsoft,Windows Print Spooler,Windows Server 2016,10.10.2.59,UAE-OFFICE,2021-01-01,yes,
ASSET-060,ReconSrv-UAE-Prod-01,Application Server,production,Finance,Reconciliation Service,no,4,yes,Oracle,WebLogic,12.2.1.4,10.10.1.60,UAE-DC1,2023-09-01,no,Nasser Al-Kaabi
